x   y    w   h

15, 514, 22, 55
49, 515, 21, 54
83, 515, 21, 54
117, 515, 21, 54
151, 515, 21, 54
185, 515, 21, 54
219, 515, 21, 54
253, 516, 21, 54
287, 515, 21, 53
321, 516, 21, 54
355, 516, 21, 53
389, 516, 21, 53
423, 516, 21, 53
456, 517, 23, 53
490, 517, 23, 52
523, 517, 25, 52
557, 517, 26, 52
591, 517, 26, 52

12, 584, 28, 50
46, 584, 29, 50
79, 584, 30, 50
113, 585, 31, 49
147, 585, 32, 49
196, 586, 33, 48
246, 586, 34, 48
295, 586, 35, 47
345, 586, 36, 47
395, 587, 37, 46
444, 588, 38, 44
494, 588, 38, 44
544, 588, 39, 44

23, 655, 41, 43
73, 656, 42, 41
123, 656, 42, 41
173, 656, 42, 41
222, 657, 44, 40
272, 658, 44, 38
322, 659, 45, 37
372, 659, 45, 37
421, 659, 47, 36
472, 660, 47, 35
524, 661, 48, 33

21, 712, 48, 32
85, 712, 48, 32
149, 713, 50, 30
213, 713, 50, 30
277, 714, 51, 29
342, 715, 51, 27
406, 715, 52, 27
471, 716, 51, 26
535, 717, 52, 24

20, 751, 52, 24
84, 752, 53, 22
148, 752, 53, 22
212, 752, 53, 21
276, 752, 54, 21
341, 752, 53, 21
404, 752, 54, 21
468, 752, 54, 21
532, 752, 54, 21

19, 786, 54, 21
83, 786, 54, 21
148, 786, 53, 21
212, 786, 53, 21
